!	PONCT
réalisassiez	VS
réalisassions	VS
réalisation	NC
réalisations	NC
réalise	V
réalise	VIMP
réalise	VS
réalisent	V
réalisent	VS
réaliser	VINF
réalisera	V
réaliserai	V
réaliseraient	V
réaliserais	V
réaliserait	V
réaliseras	V
réaliserez	V
réaliseriez	V
réaliserions	V
réaliserons	V
réaliseront	V
réalises	V
réalises	VS
réalisez	V
réalisez	VIMP
réalisiez	V
réalisiez	VS
réalisions	V
réalisions	VS
réalisons	V
réalisons	VIMP
réalisâmes	V
réalisât	VS
réalisâtes	V
réalisèrent	V
réalisé	VPP
réalisée	VPP
réalisées	VPP
réalisés	VPP
réalité	NC
réalités	NC
récemment	ADV
récent	ADJ
récente	ADJ
récentes	ADJ
récents	ADJ
réception	NC
réceptions	NC
récipiendaire	NC
récipiendaires	NC
récit	NC
récital	NC
récitals	NC
récits	NC
réclama	V
réclamai	V
réclamaient	V
réclamais	V
réclamait	V
réclamant	VPR
réclamas	V
réclamasse	VS
réclamassent	VS
réclamasses	VS
réclamassiez	VS
réclamassions	VS
réclame	V
réclame	VIMP
réclame	VS
réclament	V
réclament	VS
réclamer	VINF
réclamera	V
réclamerai	V
réclameraient	V
réclamerais	V
réclamerait	V
réclameras	V
réclamerez	V
réclameriez	V
réclamerions	V
réclamerons	V
réclameront	V
réclames	V
réclames	VS
réclamez	V
réclamez	VIMP
réclamiez	V
réclamiez	VS
réclamions	V
réclamions	VS
réclamons	V
réclamons	VIMP
réclamâmes	V
réclamât	VS
réclamâtes	V
réclamèrent	V
réclamé	VPP
réclamée	VPP
réclamées	VPP
réclamés	VPP
récolte	NC
récoltes	NC
récompensa	V
récompensai	V
récompensaient	V
récompensais	V
récompensait	V
récompensant	VPR
récompensas	V
récompensasse	VS
récompensassent	VS
récompensasses	VS
récompensassiez	VS
récompensassions	VS
récompense	NC
récompense	V
récompense	VIMP
récompense	VS
récompensent	V
récompensent	VS
récompenser	VINF
récompensera	V
récompenserai	V
récompenseraient	V
récompenserais	V
récompenserait	V
récompenseras	V
récompenserez	V
récompenseriez	V
récompenserions	V
récompenserons	V
récompenseront	V
récompenses	NC
récompenses	V
récompenses	VS
récompensez	V
récompensez	VIMP
récompensiez	V
récompensiez	VS
récompensions	V
récompensions	VS
récompensons	V
récompensons	VIMP
récompensâmes	V
récompensât	VS
récompensâtes	V
récompensèrent	V
récompensé	VPP
récompensée	VPP
récompensées	VPP
récompensés	VPP
récréatif	ADJ
récréatifs	ADJ
récréative	ADJ
récréatives	ADJ
récupère	V
récupère	VIMP
récupère	VS
récupèrent	V
récupèrent	VS
récupères	V
récupères	VS
récupéra	V
récupérai	V
récupéraient	V
récupérais	V
récupérait	V
récupérant	VPR
récupéras	V
récupérasse	VS
récupérassent	VS
récupérasses	VS
récupérassiez	VS
récupérassions	VS
récupération	NC
récupérations	NC
récupérer	VINF
récupérera	V
récupérerai	V
récupéreraient	V
récupérerais	V
récupérerait	V
récupéreras	V
récupérerez	V
récupéreriez	V
récupérerions	V
récupérerons	V
récupéreront	V
récupérez	V
récupérez	VIMP
récupériez	V
récupériez	VS
récupérions	V
récupérions	VS
récupérons	V
récupérons	VIMP
récupérâmes	V
récupérât	VS
récupérâtes	V
récupérèrent	V
récupéré	VPP
récupérée	VPP
récupérées	VPP
récupérés	VPP
rédaction	NC
rédactions	NC
réduction	NC
réductions	NC
réduira	V
réduirai	V
réduiraient	V
réduirais	V
réduirait	V
réduiras	V
réduire	VINF
réduirez	V
réduiriez	V
réduirions	V
réduirons	V
réduiront	V
réduis	V
réduis	VIMP
réduisaient	V
réduisais	V
réduisait	V
réduisant	VPR
réduise	VS
réduisent	V
réduisent	VS
réduises	VS
réduisez	V
réduisez	VIMP
réduisiez	V
réduisiez	VS
réduisions	V
réduisions	VS
réduisirent	V
réduisis	V
réduisisse	VS
réduisissent	VS
réduisisses	VS
réduisissiez	VS
réduisissions	VS
réduisit	V
réduisons	V
réduisons	VIMP
réduisîmes	V
réduisît	VS
réduisîtes	V
réduit	ADJ
réduit	V
réduit	VPP
réduite	ADJ
réduite	VPP
réduites	ADJ
réduites	VPP
réduits	ADJ
réduits	VPP
réel	ADJ
réelle	ADJ
réellement	ADV
réelles	ADJ
réels	ADJ
réf..	NC
réfection	NC
réfections	NC
réflexion	NC
réflexions	NC
réfléchi	VPP
réfléchie	VPP
réfléchies	VPP
réfléchir	VINF
réfléchira	V
réfléchirai	V
réfléchiraient	V
réfléchirais	V
réfléchirait	V
réfléchiras	V
réfléchirent	V
réfléchirez	V
réfléchiriez	V
réfléchirions	V
réfléchirons	V
réfléchiront	V
réfléchis	V
réfléchis	VIMP
réfléchis	VPP
réfléchissaient	V
réfléchissais	V
réfléchissait	V
réfléchissant	VPR
réfléchisse	VS
réfléchissent	V
réfléchissent	VS
réfléchisses	VS
réfléchissez	V
réfléchissez	VIMP
réfléchissiez	V
réfléchissiez	VS
réfléchissions	V
réfléchissions	VS
réfléchissons	V
réfléchissons	VIMP
réfléchit	V
réfléchîmes	V
réfléchît	VS
réfléchîtes	V
réforme	NC
réformes	NC
réfugié	NC
réfugiée	NC
réfugiées	NC
réfugiés	NC
référence	NC
références	NC
régie	NC
régies	NC
régime	NC
régiment	NC
régiments	NC
régimes	NC
région	NC
régional	ADJ
régionale	ADJ
régionales	ADJ
régionaux	ADJ
régions	NC
régla	V
réglai	V
réglaient	V
réglais	V
réglait	V
réglant	VPR
réglas	V
réglasse	VS
réglassent	VS
réglasses	VS
réglassiez	VS
réglassions	VS
réglementation	NC
réglementations	NC
régler	VINF
réglera	V
réglerai	V
régleraient	V
réglerais	V
réglerait	V
régleras	V
réglerez	V
régleriez	V
réglerions	V
réglerons	V
régleront	V
réglez	V
réglez	VIMP
régliez	V
régliez	VS
réglions	V
réglions	VS
réglons	V
réglons	VIMP
réglâmes	V
réglât	VS
réglâtes	V
réglèrent	V
réglé	VPP
réglée	VPP
réglées	VPP
réglés	VPP
régna	V
régnai	V
régnaient	V
régnais	V
régnait	V
régnant	VPR
régnas	V
régnasse	VS
régnassent	VS
régnasses	VS
régnassiez	VS
régnassions	VS
régner	VINF
régnera	V
régnerai	V
régneraient	V
régnerais	V
régnerait	V
régneras	V
régnerez	V
régneriez	V
régnerions	V
régnerons	V
régneront	V
régnez	V
régnez	VIMP
régniez	V
régniez	VS
régnions	V
régnions	VS
régnons	V
régnons	VIMP
régnâmes	V
régnât	VS
régnâtes	V
régnèrent	V
régné	VPP
régnée	VPP
régnées	VPP
régnés	VPP
régulier	ADJ
réguliers	ADJ
régulière	ADJ
régulièrement	ADV
régulières	ADJ
réhabilitation	NC
réhabilitations	NC
réjoui	VPP
réjouie	VPP
réjouies	VPP
réjouir	VINF
réjouira	V
réjouirai	V
réjouiraient	V
réjouirais	V
réjouirait	V
réjouiras	V
réjouirent	V
réjouirez	V
réjouiriez	V
réjouirions	V
réjouirons	V
réjouiront	V
réjouis	V
réjouis	VIMP
réjouis	VPP
réjouissaient	V
réjouissais	V
réjouissait	V
réjouissant	VPR
réjouisse	VS
réjouissent	V
réjouissent	VS
réjouisses	VS
réjouissez	V
réjouissez	VIMP
réjouissiez	V
réjouissiez	VS
réjouissions	V
réjouissions	VS
réjouissons	V
réjouissons	VIMP
réjouit	V
réjouîmes	V
réjouît	VS
réjouîtes	V
rénova	V
rénovai	V
rénovaient	V
rénovais	V
rénovait	V
rénovant	VPR
rénovas	V
rénovasse	VS
rénovassent	VS
rénovasses	VS
rénovassiez	VS
rénovassions	VS
rénovation	NC
rénovations	NC
rénove	V
rénove	VIMP
rénove	VS
rénovent	V
rénovent	VS
rénover	VINF
rénovera	V
rénoverai	V
rénoveraient	V
rénoverais	V
rénoverait	V
rénoveras	V
rénoverez	V
rénoveriez	V
rénoverions	V
rénoverons	V
rénoveront	V
rénoves	V
rénoves	VS
rénovez	V
rénovez	VIMP
rénoviez	V
rénoviez	VS
rénovions	V
rénovions	VS
rénovons	V
rénovons	VIMP
rénovâmes	V
rénovât	VS
rénovâtes	V
rénovèrent	V
rénové	VPP
rénovée	VPP
rénovées	VPP
rénovés	VPP
réouverture	NC
réouvertures	NC
réparation	NC
réparations	NC
réparti	VPP
répartie	VPP
réparties	VPP
répartir	VINF
répartira	V
répartirai	V
répartiraient	V
répartirais	V
répartirait	V
répartiras	V
répartirent	V
répartirez	V
répartiriez	V
répartirions	V
répartirons	V
répartiront	V
répartis	V
répartis	VIMP
répartis	VPP
répartissaient	V
répartissais	V
répartissait	V
répartissant	VPR
répartisse	VS
répartissent	V
répartissent	VS
répartisses	VS
répartissez	V
répartissez	VIMP
répartissiez	V
répartissiez	VS
répartissions	V
répartissions	VS
répartissons	V
répartissons	VIMP
répartit	V
répartition	NC
répartitions	NC
répartîmes	V
répartît	VS
répartîtes	V
répertoire	NC
répertoires	NC
répond	V
répondaient	V
répondais	V
répondait	V
répondant	VPR
réponde	VS
répondent	V
répondent	VS
répondes	VS
répondeur	NC
répondeurs	NC
répondez	V
répondez	VIMP
répondiez	V
répondiez	VS
répondions	V
répondions	VS
répondirent	V
répondis	V
répondisse	VS
répondissent	VS
répondisses	VS
répondissiez	VS
répondissions	VS
répondit	V
répondons	V
répondons	VIMP
répondra	V
répondrai	V
répondraient	V
répondrais	V
répondrait	V
répondras	V
répondre	VINF
répondrez	V
répondriez	V
répondrions	V
répondrons	V
répondront	V
réponds	V
réponds	VIMP
répondu	VPP
répondue	VPP
répondues	VPP
répondus	VPP
répondîmes	V
répondît	VS
répondîtes	V
réponse	NC
réponses	NC
républicain	ADJ
républicaine	ADJ
républicaines	ADJ
républicains	ADJ
réputation	NC
réputations	NC
répète	V
répète	VIMP
répète	VS
répètent	V
répètent	VS
répètes	V
répètes	VS
répéta	V
répétai	V
répétaient	V
répétais	V
répétait	V
répétant	VPR
répétas	V
répétasse	VS
répétassent	VS
répétasses	VS
répétassiez	VS
répétassions	VS
répéter	VINF
répétera	V
répéterai	V
répéteraient	V
répéterais	V
répéterait	V
répéteras	V
répéterez	V
répéteriez	V
répéterions	V
répéterons	V
répéteront	V
répétez	V
répétez	VIMP
répétiez	V
répétiez	VS
répétions	V
répétions	VS
répétition	NC
répétitions	NC
répétons	V
répétons	VIMP
répétâmes	V
répétât	VS
répétâtes	V
répétèrent	V
répété	VPP
répétée	VPP
répétées	VPP
répétés	VPP
réseau	NC
réseaux	NC
réserva	V
réservai	V
réservaient	V
réservais	V
réservait	V
réservant	VPR
réservas	V
réservasse	VS
réservassent	VS
réservasses	VS
réservassiez	VS
réservassions	VS
réservation	NC
réservations	NC
réserve	NC
réserve	V
réserve	VIMP
réserve	VS
réservent	V
réservent	VS
réserver	VINF
réservera	V
réserverai	V
réserveraient	V
réserverais	V
réserverait	V
réserveras	V
réserverez	V
réserveriez	V
réserverions	V
réserverons	V
réserveront	V
réserves	NC
réserves	V
réserves	VS
réservez	V
réservez	VIMP
réserviez	V
réserviez	VS
réservions	V
réservions	VS
réservoir	NC
réservoirs	NC
réservons	V
réservons	VIMP
réservâmes	V
réservât	VS
réservâtes	V
réservèrent	V
réservé	VPP
réservée	VPP
réservées	VPP
réservés	VPP
résida	V
résidai	V
résidaient	V
résidais	V
résidait	V
résidant	NC
résidant	VPR
résidante	NC
résidantes	NC
résidants	NC
résidas	V
résidasse	VS
résidassent	VS
résidasses	VS
résidassiez	VS
résidassions	VS
réside	V
réside	VIMP
réside	VS
résidence	NC
résidences	NC
résident	NC
résident	V
résident	VS
résidents	NC
résider	VINF
résidera	V
résiderai	V
résideraient	V
résiderais	V
résiderait	V
résideras	V
résiderez	V
résideriez	V
résiderions	V
résiderons	V
résideront	V
résides	V
résides	VS
résidez	V
résidez	VIMP
résidiez	V
résidiez	VS
résidions	V
résidions	VS
résidons	V
résidons	VIMP
résidâmes	V
résidât	VS
résidâtes	V
résidèrent	V
résidé	VPP
résidée	VPP
résidées	VPP
résidés	VPP
résistance	NC
résistances	NC
résolu	VPP
résolue	VPP
résolues	VPP
résolurent	V
résolus	V
résolus	VPP
résolusse	VS
résolussent	VS
résolusses	VS
résolussiez	VS
résolussions	VS
résolut	V
résolvaient	V
résolvais	V
résolvait	V
résolvant	VPR
résolve	VS
résolvent	V
résolvent	VS
résolves	VS
résolvez	V
résolvez	VIMP
résolviez	V
résolviez	VS
résolvions	V
résolvions	VS
résolvons	V
résolvons	VIMP
résolûmes	V
résolût	VS
résolûtes	V
résoudra	V
résoudrai	V
résoudraient	V
résoudrais	V
résoudrait	V
résoudras	V
résoudre	VINF
résoudrez	V
résoudriez	V
résoudrions	V
résoudrons	V
résoudront	V
résous	V
résous	VIMP
résous	VPP
résout	V
résoute	VPP
résoutes	VPP
résultat	NC
résultats	NC
résuma	V
résumai	V
résumaient	V
résumais	V
résumait	V
résumant	VPR
résumas	V
résumasse	VS
résumassent	VS
résumasses	VS
résumassiez	VS
résumassions	VS
résume	V
résume	VIMP
résume	VS
résument	V
résument	VS
résumer	VINF
résumera	V
résumerai	V
résumeraient	V
résumerais	V
résumerait	V
résumeras	V
résumerez	V
résumeriez	V
résumerions	V
résumerons	V
résumeront	V
résumes	V
résumes	VS
résumez	V
résumez	VIMP
résumiez	V
résumiez	VS
résumions	V
résumions	VS
résumons	V
résumons	VIMP
résumâmes	V
résumât	VS
résumâtes	V
résumèrent	V
résumé	VPP
résumée	VPP
résumées	VPP
résumés	VPP
réu	NC
réuni	VPP
réunie	VPP
réunies	VPP
réunion	NC
réunions	NC
réunir	VINF
réunira	V
réunirai	V
réuniraient	V
réunirais	V
réunirait	V
réuniras	V
réunirent	V
réunirez	V
réuniriez	V
réunirions	V
réunirons	V
réuniront	V
réunis	V
réunis	VIMP
réunis	VPP
réunissaient	V
réunissais	V
réunissait	V
réunissant	VPR
réunisse	VS
réunissent	V
réunissent	VS
réunisses	VS
réunissez	V
réunissez	VIMP
réunissiez	V
réunissiez	VS
réunissions	V
réunissions	VS
réunissons	V
réunissons	VIMP
réunit	V
réunîmes	V
réunît	VS
réunîtes	V
réussi	VPP
réussie	VPP
réussies	VPP
réussir	VINF
réussira	V
réussirai	V
réussiraient	V
réussirais	V
réussirait	V
réussiras	V
réussirent	V
réussirez	V
réussiriez	V
réussirions	V
réussirons	V
réussiront	V
réussis	V
réussis	VIMP
réussis	VPP
réussissaient	V
réussissais	V
réussissait	V
réussissant	VPR
réussisse	VS
réussissent	V
réussissent	VS
réussisses	VS
réussissez	V
réussissez	VIMP
réussissiez	V
réussissiez	VS
réussissions	V
réussissions	VS
réussissons	V
réussissons	VIMP
réussit	V
réussite	NC
réussites	NC
réussîmes	V
réussît	VS
réussîtes	V
révision	NC
révisions	NC
révolution	NC
révolutions	NC
révèle	V
révèle	VIMP
révèle	VS
révèlent	V
révèlent	VS
révèles	V
révèles	VS
révéla	V
révélai	V
révélaient	V
révélais	V
révélait	V
révélant	VPR
révélas	V
révélasse	VS
révélassent	VS
révélasses	VS
révélassiez	VS
révélassions	VS
révéler	VINF
révélera	V
révélerai	V
révéleraient	V
révélerais	V
révélerait	V
révéleras	V
révélerez	V
révéleriez	V
révélerions	V
révélerons	V
révéleront	V
révélez	V
révélez	VIMP
révéliez	V
révéliez	VS
révélions	V
révélions	VS
révélons	V
révélons	VIMP
révélâmes	V
révélât	VS
révélâtes	V
révélèrent	V
révélé	VPP
révélée	VPP
révélées	VPP
révélés	VPP
rêva	V
rêvai	V
rêvaient	V
rêvais	V
rêvait	V
rêvant	VPR
rêvas	V
rêvasse	VS
rêvassent	VS
rêvasses	VS
rêvassiez	VS
rêvassions	VS
rêve	NC
rêve	V
rêve	VIMP
rêve	VS
rêvent	V
rêvent	VS
rêver	VINF
rêvera	V
rêverai	V
rêveraient	V
rêverais	V
rêverait	V
rêveras	V
rêverez	V
rêveriez	V
rêverions	V
rêverons	V
rêveront	V
rêves	NC
rêves	V
rêves	VS
rêvez	V
rêvez	VIMP
rêviez	V
rêviez	VS
rêvions	V
rêvions	VS
rêvons	V
rêvons	VIMP
rêvâmes	V
rêvât	VS
rêvâtes	V
rêvèrent	V
rêvé	VPP
rêvée	VPP
rêvées	VPP
rêvés	VPP
rîmes	V
rît	VS
rîtes	V
rôle	NC
rôles	NC
s'	CLR
sa	DET
sable	NC
sables	NC
sac	NC
sachant	VPR
sache	VIMP
sache	VS
sachent	VS
saches	VS
sachez	VIMP
sachiez	VS
sachions	VS
sachons	VIMP
sacré	ADJ
sacrée	ADJ
sacrées	ADJ
sacrés	ADJ
sacs	NC
sage	ADJ
sages	ADJ
sain	ADJ
saine	ADJ
saines	ADJ
sains	ADJ
saint	ADJ
saint	NC
sainte	ADJ
sainte	NC
saintes	ADJ
saintes	NC
saints	ADJ
saints	NC
sais	V
saisi	VPP
saisie	VPP
saisies	VPP
saisir	VINF
saisira	V
saisirai	V
saisiraient	V
saisirais	V
saisirait	V
saisiras	V
saisirent	V
saisirez	V
saisiriez	V
saisirions	V
saisirons	V
saisiront	V
saisis	V
saisis	VIMP
saisis	VPP
saisissaient	V
saisissais	V
saisissait	V
saisissant	VPR
saisisse	VS
saisissent	V
saisissent	VS
saisisses	VS
saisissez	V
saisissez	VIMP
saisissiez	V
saisissiez	VS
saisissions	V
saisissions	VS
saisissons	V
saisissons	VIMP
saisit	V
saison	NC
saisons	NC
saisîmes	V
saisît	VS
saisîtes	V
sait	V
salade	NC
salades	NC
salaire	NC
salaires	NC
salarié	NC
salariée	NC
salariées	NC
salariés	NC
salle	NC
salles	NC
salon	NC
salons	NC
salua	V
saluai	V
saluaient	V
saluais	V
saluait	V
saluant	VPR
saluas	V
saluasse	VS
saluassent	VS
saluasses	VS
saluassiez	VS
saluassions	VS
salue	V
salue	VIMP
salue	VS
saluent	V
saluent	VS
saluer	VINF
saluera	V
saluerai	V
salueraient	V
saluerais	V
saluerait	V
salueras	V
saluerez	V
salueriez	V
saluerions	V
saluerons	V
salueront	V
salues	V
salues	VS
saluez	V
saluez	VIMP
saluiez	V
saluiez	VS
saluions	V
saluions	VS
saluons	V
saluons	VIMP
saluâmes	V
saluât	VS
saluâtes	V
saluèrent	V
salué	VPP
saluée	VPP
saluées	VPP
salués	VPP
samedi	NC
samedis	NC
sanction	NC
sanctions	NC
sandwich	NC
sandwiches	NC
sandwichs	NC
sang	NC
sangs	NC
sanguin	ADJ
sanguine	ADJ
sanguines	ADJ
sanguins	ADJ
sanitaire	ADJ
sanitaires	ADJ
sans	P
santé	NC
santés	NC
sapeur	NC
sapeur-pompier	NC
sapeurs	NC
sapeurs-pompiers	NC
sapin	NC
sapins	NC
satisfaction	NC
satisfactions	NC
satisfaire	VINF
satisfais	V
satisfais	VIMP
satisfaisaient	V
satisfaisais	V
satisfaisait	V
satisfaisant	ADJ
satisfaisant	VPR
satisfaisante	ADJ
satisfaisantes	ADJ
satisfaisants	ADJ
satisfaisiez	V
satisfaisions	V
satisfaisons	V
satisfaisons	VIMP
satisfait	ADJ
satisfait	V
satisfait	VPP
satisfaite	ADJ
satisfaite	VPP
satisfaites	ADJ
satisfaites	V
satisfaites	VIMP
satisfaites	VPP
satisfaits	ADJ
satisfaits	VPP
satisfasse	VS
satisfassent	VS
satisfasses	VS
satisfassiez	VS
satisfassions	VS
satisfera	V
satisferai	V
satisferaient	V
satisferais	V
satisferait	V
satisferas	V
satisferez	V
satisferiez	V
satisferions	V
satisferons	V
satisferont	V
satisfirent	V
satisfis	V
satisfisse	VS
satisfissent	VS
satisfisses	VS
satisfissiez	VS
satisfissions	VS
satisfit	V
satisfont	V
satisfîmes	V
satisfît	VS
satisfîtes	V
saucisse	NC
saucisses	NC
sauf	P
saura	V
saurai	V
sauraient	V
saurais	V
saurait	V
sauras	V
saurez	V
sauriez	V
saurions	V
saurons	V
sauront	V
saut	NC
sauts	NC
sauts	NC
sauva	V
sauvage	ADJ
sauvages	ADJ
sauvai	V
sauvaient	V
sauvais	V
sauvait	V
sauvant	VPR
sauvas	V
sauvasse	VS
sauvassent	VS
sauvasses	VS
sauvassiez	VS
sauvassions	VS
sauve	V
sauve	VIMP
sauve	VS
sauvegarde	NC
sauvegardes	NC
sauvent	V
sauvent	VS
sauver	VINF
sauvera	V
sauverai	V
sauveraient	V
sauverais	V
sauverait	V
sauveras	V
sauverez	V
sauveriez	V
sauverions	V
sauverons	V
sauveront	V
sauves	V
sauves	VS
sauvetage	NC
sauvetages	NC
sauvez	V
sauvez	VIMP
sauviez	V
sauviez	VS
sauvions	V
sauvions	VS
sauvons	V
sauvons	VIMP
sauvâmes	V
sauvât	VS
sauvâtes	V
sauvèrent	V
sauvé	VPP
sauvée	VPP
sauvées	VPP
sauvés	VPP
savaient	V
savais	V
savait	V
savent	V
saveur	NC
saveurs	NC
savez	V
saviez	V
savions	V
savoir	NC
savoir	VINF
savoir-faire	NC
savoirs	NC
savons	V
saxophone	NC
saxophones	NC
saynète	NC
saynètes	NC
schéma	NC
schémas	NC
science	NC
sciences	NC
scientifique	ADJ
scientifiques	ADJ
scierie	NC
scieries	NC
scolaire	ADJ
scolaires	ADJ
scolarisa	V
scolarisai	V
scolarisaient	V
scolarisais	V
scolarisait	V
scolarisant	VPR
scolarisas	V
scolarisasse	VS
scolarisassent	VS
scolarisasses	VS
scolarisassiez	VS
scolarisassions	VS
scolarise	V
scolarise	VIMP
scolarise	VS
scolarisent	V
scolarisent	VS
scolariser	VINF
scolarisera	V
scolariserai	V
scolariseraient	V
scolariserais	V
scolariserait	V
scolariseras	V
scolariserez	V
scolariseriez	V
scolariserions	V
scolariserons	V
scolariseront	V
scolarises	V
scolarises	VS
scolarisez	V
scolarisez	VIMP
scolarisiez	V
scolarisiez	VS
scolarisions	V
scolarisions	VS
scolarisons	V
scolarisons	VIMP
scolarisâmes	V
scolarisât	VS
scolarisâtes	V
scolarisèrent	V
scolarisé	VPP
scolarisée	VPP
scolarisées	VPP
scolarisés	VPP
scolarité	NC
scolarités	NC
scooter	NC
scooters	NC
score	NC
scores	NC
scout	NC
scoute	NC
scoutes	NC
scouts	NC
scrabble	NC
scrabbles	NC
scratch	NC
scratches	NC
scratchs	NC
scrutin	NC
scrutins	NC
sculpteur	NC
sculpteurs	NC
sculpture	NC
sculptures	NC
scène	NC
scènes	NC
scénario	NC
scénarios	NC
se	CLR
sec	ADJ
second	ADJ
seconda	V
secondai	V
secondaient	V
secondaire	ADJ
secondaires	ADJ
secondais	V
secondait	V
secondant	VPR
secondas	V
secondasse	VS
secondassent	VS
secondasses	VS
secondassiez	VS
secondassions	VS
seconde	ADJ
seconde	ADJ
seconde	NC
seconde	V
seconde	VIMP
seconde	VS
secondent	V
secondent	VS
seconder	VINF
secondera	V
seconderai	V
seconderaient	V
seconderais	V
seconderait	V
seconderas	V
seconderez	V
seconderiez	V
seconderions	V
seconderons	V
seconderont	V
secondes	ADJ
secondes	ADJ
secondes	NC
secondes	V
secondes	VS
secondez	V
secondez	VIMP
secondiez	V
secondiez	VS
secondions	V
secondions	VS
secondons	V
secondons	VIMP
seconds	ADJ
secondâmes	V
secondât	VS
secondâtes	V
secondèrent	V
secondé	VPP
secondée	VPP
secondées	VPP
secondés	VPP
secours	NC
secret	ADJ
secret	NC
secrets	ADJ
secrets	NC
secrète	ADJ
secrètes	ADJ
secrétaire	NC
secrétaires	NC
secrétariat	NC
secrétariats	NC
secs	ADJ
secteur	NC
secteurs	NC
section	NC
sections	NC
sein	NC
seins	NC
sel	NC
selon	P
sels	NC
semaine	NC
semaines	NC
sembla	V
semblai	V
semblaient	V
semblais	V
semblait	V
semblant	VPR
semblas	V
semblasse	VS
semblassent	VS
semblasses	VS
semblassiez	VS
semblassions	VS
semble	V
semble	VIMP
semble	VS
semblent	V
semblent	VS
sembler	VINF
semblera	V
semblerai	V
sembleraient	V
semblerais	V
semblerait	V
sembleras	V
semblerez	V
sembleriez	V
semblerions	V
semblerons	V
sembleront	V
sembles	V
sembles	VS
semblez	V
semblez	VIMP
sembliez	V
sembliez	VS
semblions	V
semblions	VS
semblons	V
semblons	VIMP
semblâmes	V
semblât	VS
semblâtes	V
semblèrent	V
semblé	VPP
semblée	VPP
semblées	VPP
semblés	VPP
semestre	NC
semestres	NC
senior	NC
seniors	NC
sens	NC
sens	V
sens	VIMP
sensation	NC
sensations	NC
sensibilisa	V
sensibilisai	V
sensibilisaient	V
sensibilisais	V
sensibilisait	V
sensibilisant	VPR
sensibilisas	V
sensibilisasse	VS
sensibilisassent	VS
sensibilisasses	VS
sensibilisassiez	VS
sensibilisassions	VS
sensibilisation	NC
sensibilisations	NC
sensibilise	V
sensibilise	VIMP
sensibilise	VS
sensibilisent	V
sensibilisent	VS
sensibiliser	VINF
sensibilisera	V
sensibiliserai	V
sensibiliseraient	V
sensibiliserais	V
sensibiliserait	V
sensibiliseras	V
sensibiliserez	V
sensibiliseriez	V
sensibiliserions	V
sensibiliserons	V
sensibiliseront	V
sensibilises	V
sensibilises	VS
sensibilisez	V
sensibilisez	VIMP
sensibilisiez	V
sensibilisiez	VS
sensibilisions	V
sensibilisions	VS
sensibilisons	V
sensibilisons	VIMP
sensibilisâmes	V
sensibilisât	VS
sensibilisâtes	V
sensibilisèrent	V
sensibilisé	VPP
sensibilisée	VPP
sensibilisées	VPP
sensibilisés	VPP
sensibilité	NC
sensibilités	NC
sensible	ADJ
sensibles	ADJ
sent	V
sentaient	V
sentais	V
sentait	V
sentant	VPR
sente	VS
sentent	V
sentent	VS
sentes	VS
sentez	V
sentez	VIMP
senti	VPP
sentie	VPP
sentier	NC
sentiers	NC
senties	VPP
sentiez	V
sentiez	VS
sentiment	NC
sentiments	NC
sentions	V
sentions	VS
sentir	VINF
sentira	V
sentirai	V
sentiraient	V
sentirais	V
sentirait	V
sentiras	V
sentirent	V
sentirez	V
sentiriez	V
sentirions	V
sentirons	V
sentiront	V
sentis	V
sentis	VPP
sentisse	VS
sentissent	VS
sentisses	VS
sentissiez	VS
sentissions	VS
sentit	V
sentons	V
sentons	VIMP
sentîmes	V
sentît	VS
sentîtes	V
septembre	NC
septembres	NC
septième	ADJ
septièmes	ADJ
sera	V
serai	V
seraient	V
serais	V
serait	V
seras	V
serbe	ADJ
serbes	ADJ
serez	V
seriez	V
serions	V
serons	V
seront	V
serre	NC
serres	NC
sers	V
sers	VIMP
sert	V
servaient	V
servais	V
servait	V
servant	VPR
serve	VS
servent	V
servent	VS
serves	VS
servez	V
servez	VIMP
servi	VPP
service	NC
services	NC
servie	VPP
servies	VPP
serviez	V
serviez	VS
servions	V
servions	VS
servir	VINF
servira	V
servirai	V
serviraient	V
servirais	V
servirait	V
serviras	V
servirent	V
servirez	V
serviriez	V
servirions	V
servirons	V
serviront	V
servis	V
servis	VPP
servisse	VS
servissent	VS
servisses	VS
servissiez	VS
servissions	VS
servit	V
servons	V
servons	VIMP
servîmes	V
servît	VS
servîtes	V
ses	DET
session	NC
sessions	NC
set	NC
sets	NC
seuil	NC
seuils	NC
seul	ADJ
seule	ADJ
seulement	ADV
seules	ADJ
seuls	ADJ
sexuel	ADJ
sexuelle	ADJ
sexuelles	ADJ
sexuels	ADJ
show	NC
shows	NC
si	CS
si jamais	CS
si__csu	CS
siens	NC
signa	V
signai	V
signaient	V
signais	V
signait	V
signala	V
signalai	V
signalaient	V
signalais	V
signalait	V
signalant	VPR
signalas	V
signalasse	VS
signalassent	VS
signalasses	VS
signalassiez	VS
signalassions	VS
signale	V
signale	VIMP
signale	VS
signalent	V
signalent	VS
signaler	VINF
signalera	V
signalerai	V
signaleraient	V
signalerais	V
signalerait	V
signaleras	V
signalerez	V
signaleriez	V
signalerions	V
signalerons	V
signaleront	V
signales	V
signales	VS
signalez	V
signalez	VIMP
signaliez	V
signaliez	VS
signalions	V
signalions	VS
signalisation	NC
signalisations	NC
signalons	V
signalons	VIMP
signalâmes	V
signalât	VS
signalâtes	V
signalèrent	V
signalé	VPP
